country,iso_code,primary_energy_consumption_max,primary_energy_consumption_min,primary_energy_consumption_mean,primary_energy_consumption_median,primary_energy_consumption_std,energy_per_capita_mean,energy_per_capita_median,energy_per_capita_std,fossil_share_energy_mean,renewables_share_energy_mean,energy_transition_index_mean
Mozambique,MOZ,85.286,4.518,37.28412295081967,37.7485,16.378535518432646,1902.7868114754099,2018.4825,631.19323764431,,,
Myanmar,MMR,172.26,20.251,52.763918699186995,46.2,29.3495131483048,1130.511532520325,1009.4875,519.8205688904835,,,
Namibia,NAM,23.574,5.022,15.6239375,16.323500000000003,5.908191710353545,7666.1598125,8266.601,1955.981407980039,,,
Nauru,NRU,0.627,0.225,0.435547619047619,0.4365,0.15150355423359652,44909.97578571428,41985.2675,19453.38022905357,,,
Nepal,NPL,49.989,2.195,15.983311475409836,15.119,8.543815185191578,632.3783114754098,610.5675,279.03007432690373,,,
Netherlands,NLD,1170.651,413.96,929.8558577235772,943.0415,119.63872676907023,60431.49084146342,61066.480500000005,5360.886178096313,97.80145528455284,1.110109756097561,0.01188013605637865
Netherlands Antilles,ANT,69.93,40.6,52.2342619047619,54.397999999999996,7.388725742674749,174695.94315238117,175660.6922600002,4864.20530849697,,,
New Caledonia,NCL,22.707,5.226,11.602857142857143,9.809999999999999,5.324906350127733,50175.570857142855,45434.318499999994,12950.525792760418,,,
New Zealand,NZL,264.115,85.218,194.42854065040652,201.69150000000002,38.12223562880984,51479.82721951219,53380.759999999995,5755.765727815862,60.71717886178862,39.28282113821138,0.6490934933288346
Nicaragua,NIC,29.219,9.308,17.61154761904762,16.871000000000002,6.771330247960548,3334.0861428571425,3293.709,645.489870085393,,,
Niger,NER,10.983,2.409,4.424098360655738,3.9475,1.8008155425652006,406.03915573770496,410.711,43.27060730674524,,,
Nigeria,NGA,543.737,122.527,259.451174796748,246.06150000000002,70.52561617651988,2110.4590284552846,2099.8365000000003,164.82300467297475,,,
Niue,NIU,0.039,0.012,0.021166666666666667,0.0245,0.008467777278159856,10225.594571428572,13282.549500000001,5410.8332581824525,,,
North Korea,PRK,345.491,93.337,260.7462295081967,272.352,50.08762217144932,11388.850049180328,11649.4175,2642.7432963672904,,,
North Macedonia,MKD,34.147,27.07,30.691969696969696,30.279,1.9329740603026808,14861.433090909091,14975.063,993.4696451235428,87.48421212121211,12.51578787878788,0.14448986939988204
Northern Mariana Islands,MNP,0.012,0.012,0.012,0.012,0.0,131.47825,131.47825,0.0,,,
Norway,NOR,580.512,215.423,469.2142317073171,486.10749999999996,72.01754175100503,103067.78987398374,105454.23449999999,11587.664728292406,31.27428455284553,68.72571544715449,2.2014466779085753
Oman,OMN,415.306,0.097,88.46396341463414,60.540499999999994,93.38118844931039,34730.397394308944,29501.0105,20109.154933731974,100.0,0.0,0.0
Pakistan,PAK,1083.789,82.224,407.43705691056914,382.848,210.2031564967997,2926.820516260163,2994.7865,666.8989118834022,85.96732926829269,13.01959756097561,0.15219369891551573
Palestine,PSE,20.552,2.722,13.16308,13.168,5.532125216406439,3200.4408000000003,3521.862,974.5569129605346,,,
Panama,PAN,130.186,42.455,74.27952380952381,67.20599999999999,25.906143494223947,23739.72711904762,22445.894500000002,3434.446641495116,,,
Papua New Guinea,PNG,30.15,8.458,17.39092857142857,16.2205,6.804057639425695,2917.4679285714287,2905.4674999999997,326.47204736807424,,,
Paraguay,PRY,154.904,7.701,96.3415,118.19749999999999,46.001210807102794,18121.633285714284,21900.283,7226.568314218878,,,
Peru,PER,334.894,55.007,136.68357723577236,121.72300000000001,56.81758668353591,5940.575382113821,5592.642,1151.5342999201184,73.44033739837398,26.559654471544714,0.366131431358017
Philippines,PHL,585.513,54.786,236.6672154471545,221.8415,100.6243485954902,3341.7754674796747,3317.3215,568.5444150251575,85.10921951219511,14.890780487804879,0.1751241049890328
Poland,POL,1556.635,776.053,1152.6017357723576,1136.7105000000001,124.35452044657335,30941.134975609755,30168.232,3395.6831739741606,98.82702032520325,1.172979674796748,0.012233450220136844
Portugal,PRT,311.496,49.829,212.16046341463417,218.043,60.166688628042465,21081.78108130081,21792.708,5480.934119497027,80.76427642276423,19.235723577235774,0.24066993514706078
Puerto Rico,PRI,155.443,65.826,90.72609523809524,74.464,29.853514292298403,25148.89378571428,22818.3115,7264.803911700172,,,
Qatar,QAT,592.228,1.411,155.34874390243903,127.1695,134.2379079047988,164309.944439675,175660.6922600002,33435.91821059086,,,
Reunion,REU,13.869,0.012,6.850095238095238,7.0395,4.856323209245828,9135.680107142856,10569.822,5766.232124610981,,,
Romania,ROU,772.477,278.721,483.4113780487805,458.4305,101.12490143615824,22841.57399593496,21858.1785,3962.904108785949,90.76031707317073,7.993878048780488,0.09171081388159566
Russia,RUS,10255.829,6997.946,8264.478105263159,8045.0785,974.9772216270268,56748.586473684205,55457.4845,6582.978960749773,88.9631052631579,6.018421052631578,0.0677864835092985
Rwanda,RWA,6.746,1.061,3.5968333333333335,3.358,1.2536402587560689,412.4651904761905,426.04499999999996,87.7204545207598,,,
Saint Helena,SHN,0.054,0.012,0.031142857142857146,0.037000000000000005,0.016146541468491888,5419.660023809523,6611.18,3093.004289674507,,,
Saint Kitts and Nevis,KNA,1.11,0.206,0.6538095238095238,0.784,0.35623144286080993,14174.911333333332,17139.6575,7163.392504676717,,,
Saint Lucia,LCA,2.725,0.35,1.2763333333333333,1.4505,0.6407897819998749,7811.922785714285,9027.752,3288.872050796944,,,
Saint Pierre and Miquelon,SPM,1.075,0.187,0.4820238095238095,0.381,0.2249713790029732,77662.79319047618,63122.184,35053.5571158843,,,
