Country,Code,Value_max,Value_min,Value_mean,Value_median,Value_std,Annual_Growth_Rate_mean,Annual_Growth_Rate_median,Annual_Growth_Rate_std,5_Year_Growth_Rate_mean,10_Year_Growth_Rate_mean
France,FRA,68287487.0,47412964.0,58688427.4375,58700413.0,6032212.823828413,0.5809971335826734,0.5171929928558416,0.21242007506068059,2.9077035288051545,5.844063661610311
French Polynesia,PYF,281118.0,83671.0,198649.78125,209651.5,67398.85797051138,1.9488990957944934,1.836394793592122,1.173361014423984,10.503087877901638,22.769580983348405
Gabon,GAB,2484789.0,512316.0,1184022.078125,1024599.0,591102.1487179907,2.5396570749644956,2.619113511008697,0.5827109211570848,13.683871380699756,29.992110422707245
"Gambia, The",GMB,2697845.0,398060.0,1255047.546875,1122770.5,699125.5712523683,3.0854170314119385,2.934162663834039,0.5318584484707565,16.641689382164262,36.72742851549265
Georgia,GEO,4911100.0,3645600.0,4151733.5,4059715.5,392431.33662910765,0.03742492737628953,0.2630095810633115,1.2100743620561174,0.05367357040130986,-0.28497503841134325
Germany,DEU,83797985.0,72814900.0,79788900.0,80144439.5,2672654.220342298,0.21445971415102966,0.1836437325149598,0.467515869368993,1.0182364520595995,1.7386971644790388
Ghana,GHA,33787914.0,6961215.0,17562626.765625,15986175.5,8044063.064990712,2.539641384079564,2.5002633634963134,0.2886644143786342,13.462807511568354,29.084222662270783
Gibraltar,GIB,38471.0,21839.0,28789.03125,28115.0,3637.1332421606694,0.9075468057143306,0.999259807549957,0.9863243533603011,4.432692171942845,8.022958067069439
Greece,GRC,11121341.0,8331725.0,10020779.328125,10359494.0,909474.4090065293,0.35496820682360314,0.389043797465205,0.5581978219019416,1.9564760002529598,4.288696094747376
Greenland,GRL,56935.0,32500.0,51793.734375,55400.0,6607.635033644583,0.9005963386708122,0.36056619602662376,1.338219423433999,4.332950865230861,7.9234205550188275
Grenada,GRD,117081.0,94052.0,103860.625,101197.5,7551.529702071606,0.34920003300221875,0.3861575930436123,0.4617938323621913,1.6695891417832287,3.377932339462884
Guam,GUM,166543.0,69525.0,131524.03125,142233.0,33622.86640470811,1.4011206907533902,1.6445386431138465,1.0339488358906646,7.203792142357102,15.331951418640429
Guatemala,GTM,18124838.0,4063655.0,10084044.34375,9397425.0,4333827.069934479,2.4026393582769012,2.5424726080879756,0.43657437372356434,12.682915941452553,27.17964844220221
Guinea,GIN,14405468.0,3556749.0,7482195.875,6805766.0,3171342.587529464,2.246371736928447,2.2441450393614337,0.5175180220305005,11.804885030663682,25.080106713415073
Guinea-Bissau,GNB,2153339.0,566908.0,1125746.890625,1009497.5,478255.1776873572,2.122717554049265,2.2226750275317064,1.59150895247749,11.457519461072328,25.52326360039383
Guyana,GUY,826353.0,569143.0,741505.5625,758521.0,55340.52741669474,0.5978339655770422,0.3794333069930156,0.9275598271362765,2.7918985569501045,4.629020511373069
Haiti,HTI,11637398.0,3858443.0,7328959.59375,7066010.5,2405703.471872213,1.7681120650715256,1.870994567613482,0.26924319337065866,9.264826002376916,19.639293959838657
Heavily indebted poor countries (HIPC),HPC,917304254.0,163650527.0,434259369.75,376959632.5,219594100.89999834,2.7739405920337274,2.7984537556259736,0.162177005212503,14.740368432980242,31.753052821081102
High income,HIC,1400465513.0,906950090.0,1180382008.5625,1191699576.0,144910921.13346463,0.6923267219411203,0.6625297847071776,0.2495208320363022,3.481141352027733,7.052037491150738
Honduras,HND,10644851.0,2062060.0,5648252.125,5197611.5,2647899.8711236697,2.6405861803185364,2.8672824694212062,0.4560699719589308,14.069406445298622,30.518640056094416
"Hong Kong SAR, China",HKG,7536100.0,3114671.0,5705612.046875,5776250.0,1380521.4553316433,1.419305500489593,1.0118379611193662,1.1985601456516526,7.244714939846892,15.1184442575542
Hungary,HUN,10711848.0,9592186.0,10229516.0625,10227067.0,305917.6725912494,-0.06293526511036658,-0.15478889217854785,0.34513091592189776,-0.30069451271972414,-0.6737601696013057
IBRD only,IBD,4952574126.0,1893700976.0,3482999438.90625,3541140358.5,956865517.1501845,1.5391324939479227,1.5140382214652748,0.5448088734042382,8.116386663808141,17.01555593294448
IDA & IBRD total,IBT,6858957145.0,2289188361.0,4477408540.625,4451455982.75,1401558199.9149551,1.7580229750752878,1.7690285897205893,0.4376271323853302,9.248692322621395,19.450234216659844
IDA blend,IDB,633230238.0,120801801.0,326983528.703125,300972576.0,156737222.81009576,2.665295463867062,2.6817932333635053,0.3980267599402346,14.219776884187171,30.915098671732586
IDA only,IDX,1273152781.0,274685584.0,667425573.015625,609343048.25,294308851.62340426,2.464332152210376,2.4731157367519296,0.16824942559687792,12.969554910007464,27.636207338440432
IDA total,IDA,1906383019.0,395487385.0,994409101.71875,910315624.25,451000063.54442656,2.5282215759820286,2.592000136344774,0.21308624788359137,13.365075225307962,28.67061833937271
Iceland,ISL,393349.0,175574.0,264900.109375,259427.0,56613.472888910466,1.290455716474378,1.2165796377993532,0.6174998538678959,6.321337303591515,12.336013408371741
India,IND,1438069596.0,435990338.0,912055067.328125,893442335.0,317513719.24467075,1.913555835864494,2.1356981637530303,0.4884739680510605,10.066254120798858,21.498484981498954
Indonesia,IDN,281190067.0,88296070.0,186584648.3125,188410991.0,59499586.40569667,1.8577371407322096,1.7483332292705267,0.6598582738718449,9.69449025445985,20.476488876748697
"Iran, Islamic Rep.",IRN,90608707.0,21470434.0,55940747.421875,60585957.0,21821651.456399966,2.318453111743996,2.237719097027524,1.1749749082989558,12.351916912554165,26.733243426552534
Iraq,IRQ,45074049.0,7022052.0,21377244.90625,18034049.0,11249080.821420241,2.9991509893253565,3.1916805254982084,0.9093482316127242,16.099761034514536,34.971452274146294
Ireland,IRL,5307600.0,2824400.0,3760374.578125,3549243.5,705788.7388792896,1.0065944954453592,0.9584421013274502,0.7325926840989957,5.098273928397556,10.59607583249204
Isle of Man,IMN,84382.0,48451.0,69285.015625,70080.5,11913.322074090915,0.8691817398960635,0.9784194375974664,0.7156968814429789,4.7365738784578,10.015263166253412
Israel,ISR,9756600.0,2114020.0,5395998.75,5036000.0,2250052.114494522,2.46103832977412,2.1311929144754993,0.8930264377747497,12.772636352222369,26.859743654722656
Italy,ITA,60789140.0,50199700.0,56577300.21875,56777804.0,2633860.3851464535,0.25730806157082553,0.1721262584704064,0.3934692247352452,1.3094423335084409,2.7400750773065727
Jamaica,JAM,2839786.0,1650005.0,2361468.953125,2412785.0,382258.1365529922,0.8665024190321806,0.9263356206844708,0.44161954484674604,4.4632649701577884,9.278119551215966
Japan,JPN,128070000.0,93216000.0,118512300.5,124194500.0,11014265.315073997,0.46213337538630106,0.3323338939944298,0.5576425548365493,2.432528979373471,5.054301155119786
Jordan,JOR,11439213.0,853471.0,4674719.9375,4021421.0,3201336.2714818427,4.2251714951809465,4.180509255260323,2.0313379954080935,23.552479222795405,52.502884181856324
Kazakhstan,KAZ,20330104.0,9429981.0,15472469.75,15909138.0,2642448.175919998,1.2346632999584428,1.4188876317020371,1.2623094820477267,6.070170248891615,11.687287509202276
